2024-05-12 08:28 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=1 age=50 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-05-12 12:32 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=43 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=38 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Following Too Closely
2024-05-12 17:50 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=31 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=44 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=62 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Driver Inattention
2024-05-13 08:05 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=65 sex=X race=BLACK | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=32 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=30 sex=X race=HISPANIC | COLLISION:injured=2 killed=0 factor=Driver Inattention
2024-05-13 12:15 | BOROUGH=BRONX | ZONE=CMD040 | VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=22 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=18 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=TAXI | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=35 sex=M race=UNKNOWN | COLLISION:injured=2 killed=0 factor=Unsafe Speed
2024-05-13 17:48 | BOROUGH=BRONX | ZONE=CMD044 | VEH=TRUCK | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=42 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=19 sex=M race=HISPANIC | COLLISION:injured=1 killed=0 factor=Right of Way Violation || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=22 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-05-14 08:12 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=72 sex=F race=HISPANIC | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=1 age=65 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=3 killed=0 factor=Traffic Control Disregarded || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=35 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-05-14 12:45 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=29 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=72 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=69 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-05-14 17:02 | BOROUGH=BRONX | ZONE=CMD040 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=20 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=65 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=41 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Lane Change
2024-05-15 08:15 | BOROUGH=BRONX | ZONE=CMD044 | VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=37 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=63 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=30 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded
2024-05-15 12:38 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=51 sex=F race=WHITE | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=45 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=68 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded
